Frequency,Acceleration
0,0
2,0.000276200
3,0.000121100
5,0.000082640
6,0.000091940
8,0.000161500
9,0.000110600
11,0.000155500
13,0.000085610
14,0.000286400
16,0.000459500
17,0.000246900
19,0.000252400
20,0.000433400
22,0.002714000
23,0.004525000
25,0.001837000
27,0.000395000
28,0.000357000
30,0.000346700
31,0.000323100
33,0.000245600
34,0.000360800
36,0.000435100
38,0.001144000
39,0.001892000
41,0.001286000
42,0.000589900
44,0.000713500
45,0.002740000
47,0.003544000
48,0.002921000
50,0.006004000
52,0.004162000
53,0.002983000
55,0.002745000
56,0.003008000
58,0.002269000
59,0.001709000
61,0.003198000
63,0.004586000
64,0.003210000
66,0.001860000
67,0.001728000
69,0.002927000
70,0.002373000
72,0.001661000
73,0.000805400
75,0.000416100
77,0.000743500
78,0.000607100
80,0.000859200
81,0.001166000
83,0.001101000
84,0.002117000
86,0.003297000
88,0.004372000
89,0.004330000
91,0.005983000
92,0.006245000
94,0.003080000
95,0.001064000
97,0.000720000
98,0.032630000
100,0.073850000
102,0.042150000
103,0.001773000
105,0.001058000
106,0.001406000
108,0.001688000
109,0.001499000
111,0.001284000
113,0.001422000
114,0.002545000
116,0.002822000
117,0.002260000
119,0.001211000
120,0.001282000
122,0.001822000
123,0.003882000
125,0.005427000
127,0.004253000
128,0.002070000
130,0.001526000
131,0.001511000
133,0.001620000
134,0.002358000
136,0.002123000
138,0.003717000
139,0.004218000
141,0.002124000
142,0.002183000
144,0.001023000
145,0.000821400
147,0.001002000
148,0.001057000
150,0.001406000
152,0.000925000
153,0.001045000
155,0.000888900
156,0.000489200
158,0.000535000
159,0.000941200
161,0.001955000
163,0.001979000
164,0.001059000
166,0.000857600
167,0.000993000
169,0.001354000
170,0.001299000
172,0.000957000
173,0.000699900
175,0.000943200
177,0.001650000
178,0.001855000
180,0.001829000
181,0.002191000
183,0.002663000
184,0.002552000
186,0.001838000
188,0.002173000
189,0.002139000
191,0.002487000
192,0.002031000
194,0.002889000
195,0.002208000
197,0.003928000
198,0.069290000
200,0.177700000
202,0.112700000
203,0.006928000
205,0.002510000
206,0.002034000
208,0.003459000
209,0.002133000
211,0.001026000
213,0.001751000
214,0.002282000
216,0.001676000
217,0.001319000
219,0.001568000
220,0.001086000
222,0.002007000
223,0.003684000
225,0.002710000
227,0.002443000
228,0.001236000
230,0.001007000
231,0.001340000
233,0.001178000
234,0.001819000
236,0.001502000
238,0.000742200
239,0.001638000
241,0.002744000
242,0.002524000
244,0.001051000
245,0.002750000
247,0.003251000
248,0.002202000
250,0.001599000
252,0.001137000
253,0.001468000
255,0.001474000
256,0.001287000
258,0.001484000
259,0.002670000
261,0.003609000
263,0.002425000
264,0.002171000
266,0.002028000
267,0.001334000
269,0.001582000
270,0.001220000
272,0.001450000
273,0.001562000
275,0.002093000
277,0.002071000
278,0.002248000
280,0.002003000
281,0.002524000
283,0.002444000
284,0.001539000
286,0.001876000
288,0.001138000
289,0.000813400
291,0.001629000
292,0.002440000
294,0.001402000
295,0.000732100
297,0.001306000
298,0.012020000
300,0.036630000
302,0.026300000
303,0.003132000
305,0.001807000
306,0.001898000
308,0.002839000
309,0.001883000
311,0.000581500
313,0.000708000
314,0.000905300
316,0.000804000
317,0.001135000
319,0.000965000
320,0.000588200
322,0.000686900
323,0.000661800
325,0.000648700
327,0.000612200
328,0.000443100
330,0.000924500
331,0.001417000
333,0.001531000
334,0.001364000
336,0.001396000
338,0.001676000
339,0.002446000
341,0.001627000
342,0.002204000
344,0.001803000
345,0.001227000
347,0.001055000
348,0.001700000
350,0.002447000
352,0.001615000
353,0.001252000
355,0.001433000
356,0.001639000
358,0.001307000
359,0.001222000
361,0.001380000
363,0.001090000
364,0.001612000
366,0.001594000
367,0.001421000
369,0.002061000
370,0.001548000
372,0.001064000
373,0.001160000
375,0.001182000
377,0.003353000
378,0.005149000
380,0.004456000
381,0.002696000
383,0.002788000
384,0.002454000
386,0.003743000
388,0.002680000
389,0.002448000
391,0.002744000
392,0.002901000
394,0.001811000
395,0.002580000
397,0.002301000
398,0.004320000
400,0.012750000
402,0.009920000
403,0.001220000
405,0.001894000
406,0.001902000
408,0.001671000
409,0.001116000
411,0.000703900
413,0.000770000
414,0.000973000
416,0.002036000
417,0.002238000
419,0.001947000
420,0.002100000
422,0.001970000
423,0.002324000
425,0.002967000
427,0.002362000
428,0.002048000
430,0.001891000
431,0.001507000
433,0.001003000
434,0.001146000
436,0.001141000
438,0.000746400
439,0.000524500
441,0.000579600
442,0.000959000
444,0.001021000
445,0.000799100
447,0.000677000
448,0.000842000
450,0.002973000
452,0.002635000
453,0.001043000
455,0.000955000
456,0.000796000
458,0.000810800
459,0.000751400
461,0.000914200
463,0.000814000
464,0.001023000
466,0.001008000
467,0.000928700
469,0.000723700
470,0.000624300
472,0.000599200
473,0.000398700
475,0.000571500
477,0.000604300
478,0.000764500
480,0.000759700
481,0.001245000
483,0.002191000
484,0.002396000
486,0.002100000
488,0.001210000
489,0.002427000
491,0.002057000
492,0.002022000
494,0.002376000
495,0.002904000
497,0.002263000
498,0.011790000
500,0.048960000
502,0.044530000
503,0.007454000
505,0.001858000
506,0.000837000
508,0.001459000
509,0.001461000
511,0.001289000
513,0.001106000
514,0.000968000
516,0.001217000
517,0.001276000
519,0.001089000
520,0.001398000
522,0.001341000
523,0.000971000
525,0.001205000
527,0.001809000
528,0.001672000
530,0.001161000
531,0.000857100
533,0.000795800
534,0.000934700
536,0.000865800
538,0.000853000
539,0.000837000
541,0.001071000
542,0.000943300
544,0.000472000
545,0.000570100
547,0.001089000
548,0.000979000
550,0.001194000
552,0.001025000
553,0.000572800
555,0.001121000
556,0.000873300
558,0.000511800
559,0.000342700
561,0.000391100
563,0.000361800
564,0.000532100
566,0.000468700
567,0.000323500
569,0.000302000
570,0.000357000
572,0.000421200
573,0.000508200
575,0.000817200
577,0.000768700
578,0.000812300
580,0.000427700
581,0.000375200
583,0.000487300
584,0.000498700
586,0.000399900
588,0.000372600
589,0.000363400
591,0.000840600
592,0.002890000
594,0.002987000
595,0.000987000
597,0.001126000
598,0.008125000
600,0.040130000
602,0.040480000
603,0.008195000
605,0.001410000
606,0.000482300
608,0.000428000
609,0.000523400
611,0.000520600
613,0.000628300
614,0.000864500
616,0.000559800
617,0.000329000
619,0.000282400
620,0.000466800
622,0.000528100
623,0.000652800
625,0.000447100
627,0.000449400
628,0.000513000
630,0.000494300
631,0.000522900
633,0.000726900
634,0.000816500
636,0.000577000
638,0.000804000
639,0.000882700
641,0.000850500
642,0.000739200
644,0.000713500
645,0.000916000
647,0.001295000
648,0.001377000
650,0.002189000
652,0.002016000
653,0.000595900
655,0.000733900
656,0.000805800
658,0.001205000
659,0.001301000
661,0.000863800
663,0.000781500
664,0.000879000
666,0.000956000
667,0.000815100
669,0.000750800
670,0.000583600
672,0.000628500
673,0.000523100
675,0.000473500
677,0.000797300
678,0.001379000
680,0.000686100
681,0.000710200
683,0.000519200
684,0.000562000
686,0.001082000
688,0.000987000
689,0.001346000
691,0.001601000
692,0.001626000
694,0.001738000
695,0.001436000
697,0.002117000
698,0.006059000
700,0.036210000
702,0.041100000
703,0.010250000
705,0.001530000
706,0.000672200
708,0.000486500
709,0.000590600
711,0.000609700
713,0.000499500
714,0.000506400
716,0.000583000
717,0.000785800
719,0.000697000
720,0.000480700
722,0.000424800
723,0.000615500
725,0.000743900
727,0.000696600
728,0.000518500
730,0.000678200
731,0.000793700
733,0.000638900
734,0.000734400
736,0.000875000
738,0.000706100
739,0.000903400
741,0.000886100
742,0.000890600
744,0.000780900
745,0.000990000
747,0.001116000
748,0.000862900
750,0.001065000
752,0.001193000
753,0.000923100
755,0.001147000
756,0.001088000
758,0.000915700
759,0.000679100
761,0.000881400
763,0.000659700
764,0.001066000
766,0.001153000
767,0.001051000
769,0.000957000
770,0.001082000
772,0.000970000
773,0.000679900
775,0.000618600
777,0.000940600
778,0.001072000
780,0.000904900
781,0.001056000
783,0.001026000
784,0.000951000
786,0.000909200
788,0.000575800
789,0.001159000
791,0.001364000
792,0.000755500
794,0.000466000
795,0.000636500
797,0.000527100
798,0.001137000
800,0.008671000
802,0.011100000
803,0.003483000
805,0.000496700
806,0.000483700
808,0.000619900
809,0.000619800
811,0.000737800
813,0.000787100
814,0.000696700
816,0.000495800
817,0.000349000
819,0.000429400
820,0.000472700
822,0.000475200
823,0.000545000
825,0.000711300
827,0.000686100
828,0.000906600
830,0.000912200
831,0.000875600
833,0.000757500
834,0.000605700
836,0.000612100
838,0.000587900
839,0.000483600
841,0.000796300
842,0.000966000
844,0.000649700
845,0.000888500
847,0.000977000
848,0.001597000
850,0.002121000
852,0.002051000
853,0.000739700
855,0.001184000
